Directory,Filename,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Flickr/2014,football_15719869321_o.jpg,,,
/Users/eddiedickey/Flickr/2014,view-from-ring-mtn_14338001263_o.jpg,2014:05:23 17:39:06,37.9112563888889,-122.496106388889
/Users/eddiedickey/Flickr/2014,football_15419087119_o.jpg,,,
/Users/eddiedickey/Flickr/2014,back-on-ring-mtn_15257366058_o.jpg,2014:10:04 18:30:23,37.9153377777778,-122.493338888889
/Users/eddiedickey/Flickr/2014,football-practice_14782660172_o.jpg,,37.9984277777778,-122.552002777778
/Users/eddiedickey/Flickr/2014,kayak_14294489476_o.jpg,2014:04:05 13:48:56,,
/Users/eddiedickey/Flickr/2014,football_15723334152_o.jpg,,,
/Users/eddiedickey/Flickr/2014,tennessee-valley_14390614407_o.jpg,2014:06:29 16:46:01,37.8479163888889,-122.547611666667
/Users/eddiedickey/Flickr/2014,tennessee-valley-beach_14636702541_o.jpg,2014:06:29 17:03:06,37.8416869444444,-122.552215277778
/Users/eddiedickey/Flickr/2014,football_15605714875_o.jpg,,,
/Users/eddiedickey/Flickr/2014,video_22134434949.mov,2014:05:17 23:45:33,37.8701,-122.263
/Users/eddiedickey/Flickr/2014,almond-milk-latte_14342604343_o.jpg,2014:06:01 10:18:25,37.8989419444444,-122.500931944444
/Users/eddiedickey/Flickr/2014,nose-tackle---sacked-qb_14986800767_o.jpg,2014:09:07 17:06:12,38.0894755555556,-122.575625277778
/Users/eddiedickey/Flickr/2014,muir-beach_14131121107_o.jpg,2014:01:15 14:21:26,37.8594988888889,-122.578453888889
/Users/eddiedickey/Flickr/2014,tennessee-valley_14320707955_o.jpg,2014:05:25 16:58:34,37.8556869444444,-122.539444166667
/Users/eddiedickey/Flickr/2014,summer-time-ice-cream_14636729821_o.jpg,2014:06:29 20:51:20,37.9474119444444,-122.509181944444
/Users/eddiedickey/Flickr/2014,football_15419719677_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15636313721_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15297972608_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15489000246_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15509012331_o.jpg,,,
/Users/eddiedickey/Flickr/2014,kids-with-my-brother_14134150560_o.png,,,
